uniqueID,Word,cat53_string,size_mean,memorability_cr,recognizability,property_hold_mean,property_hold_SD,property_pleasant_mean,property_pleasant_SD,property_arousal_mean,property_arousal_SD,property_manmade_mean,property_manmade_SD,property_grasp_mean,property_grasp_SD,property_natural_mean,property_natural_SD,nameability,nameability_SE,SUBTLEX freq,ZipfSUBTLEX_en
pom-pom,pom-pom,arts and crafts supply,216.91025640000004,0.7,0.785714286,6.85,0.3616,5.225,1.1206,3.431818182,1.770530433,6.825,0.4465,6.825,0.3848,1.6,0.8712,0.166666667,0.087841046,7.0,2.13752786391632
pinwheel,pinwheel,home decor; toy,226.6046512,0.87804878,0.75,6.4737,0.7618,5.6579,0.8785,4.234042553,1.683846089,6.8421,0.3695,6.3947,0.8233,1.5,0.8621,0.789473684,0.09352877,7.0,2.13752786391632
grater,grater,kitchen tool; tool,226.7906977,0.909090909,0.7,6.1622,0.9578,4.4865,1.1696,4.195652174,1.3923531669999998,6.6757,0.9444,6.0811,1.1638,1.5676,1.0419,0.842105263,0.083654675,7.0,2.13752786391632
dartboard,dartboard,sports equipment,259.0425532,0.825,0.785714286,5.5526,1.0577,5.1316,1.0698,4.285714286,1.4142135619999998,6.8684,0.3426,5.4211,1.1539,1.8158,1.2271,0.333333333,0.121716124,6.0,2.070581074285707
saltshaker,saltshaker,container,186.0,0.921052632,1.0,6.5789,0.9482,4.7105,0.8977,3.886363636000001,1.617001375,6.6579,0.7453,6.6842,0.5745,1.9737,1.3252,0.411764706,0.119364625,6.0,2.070581074285707
highlighter,highlighter,office supply; school supply,195.6,0.875,0.705882353,6.7895,0.4132,4.7632,1.1492,3.636363636000001,1.600739787,6.8421,0.3695,6.6842,0.6197,1.4737,1.0587,0.823529412,0.092459441,6.0,2.070581074285707
doorknocker,doorknocker,hardware; home decor,201.0,0.9,0.75,5.6944,1.4701,4.3056,1.0642,4.243902439,1.39248856,6.5556,1.0809,6.1944,0.9804,1.9722,1.4636,0.736842105,0.101022618,5.0,1.9913998282380825
footrest,footrest,furniture,258.702381,0.722222222,0.785714286,5.2821,1.2343,5.2821,1.2128,4.2826086960000005,1.708320078,6.7179,0.6047,5.3846,1.1611,1.9487,1.3945,0.315789474,0.106639205,5.0,1.9913998282380825
lanyard,lanyard,clothing accessory,208.9473684,0.805555556,0.714285714,6.6486,0.6756,4.4054,0.8647,4.155555556,1.429487441,6.7568,0.7229,6.6216,0.6811,1.7297,1.1937,0.842105263,0.083654675,4.0,1.894489815230026
earplug,earplug,safety equipment,141.5,0.897435897,0.8125,6.4615,1.1435,4.2051,1.1738,4.078431373,1.507887758,6.6667,0.6213,6.5128,0.914,1.6154,0.8148,0.428571429,0.132260014,3.0,1.769551078621726
honeypot,honeypot,container,236.2125,0.825,0.818181818,5.8684,0.9911,5.4737,1.0064,3.914893617,1.652794567,6.8684,0.3426,5.6579,1.1455,2.0,1.4519,0.611111111,0.114904386,3.0,1.769551078621726
paperclip,paperclip,fastener; office supply; school supply,146.7093023,0.9,0.705882353,6.6857,0.7183,4.4571,0.8168,3.785714286,1.522765685,6.5714,1.0371,6.2571,1.1205,1.6286,0.9727,0.444444444,0.117121395,2.0,1.5934598195660448
hookah,hookah,,248.6931818,0.783783784,0.733333333,5.5946,1.0919,4.8919,1.4295,4.195652174,1.641402723,6.8919,0.3148,5.7297,1.0448,1.6486,1.0332,0.833333333,0.087841046,2.0,1.5934598195660448
teabag,teabag,,168.69318180000002,0.902439024,0.8125,6.6486,0.6332,5.6216,0.9531,4.239130435,1.6218615180000002,6.2703,1.1702,6.3514,1.0332,4.4595,1.5563,0.111111111,0.074074074,2.0,1.5934598195660448
kneepad,kneepad,protective clothing; safety equipment; sports equipment,219.3222222,0.926829268,0.833333333,6.5405,0.5052,4.3514,0.9194,4.25,1.511583184,6.4054,1.3429,6.4865,0.5588,1.7027,0.968,0.764705882,0.102879368,2.0,1.5934598195660448
windsock,windsock,,269.5882353,0.868421053,0.764705882,5.5135,1.3667,4.5135,0.7682,4.31372549,1.36367439,6.8378,0.4418,5.2703,1.4842,1.4054,0.6855,0.235294118,0.102879368,1.0,1.2924298239020635
wind_chimes,wind chimes,home decor,229.6590909,0.87804878,0.785714286,5.825,1.1297,5.9,1.0328,3.477272727,1.577289939,6.5,0.8771,5.7,1.1368,2.75,1.6756,0.666666667,0.111111111,0.0,1.0
watering_can,watering can,container; garden tool; tool,246.047619,0.871794872,0.777777778,6.0,1.0,4.9459,0.9412,4.0425531910000005,1.667560661,6.5676,1.119,5.9189,1.3412,1.5946,0.7623,0.611111111,0.114904386,0.0,1.0
water_bottle,water bottle,container,229.5568182,0.880952381,0.846153846,6.5946,0.599,5.3243,1.1317,3.571428571,1.7677669530000002,6.6486,0.7894,6.2703,0.9902,1.5135,0.9013,0.941176471,0.057067206,0.0,1.0
aluminum_foil,aluminum foil,,224.5588235,0.925,0.875,6.3514,0.8887,4.3514,0.9194,3.6875,1.386197155,6.5676,0.9586,6.2162,1.0836,2.4865,1.6435,0.421052632,0.113268966,0.0,1.0
air_pump,air pump,tool,248.6785714,0.837209302,0.764705882,6.1316,1.0698,4.3684,0.8517,4.347826087,1.5234083319999998,6.3947,1.5516,6.2105,1.0438,1.6053,1.0537,0.736842105,0.101022618,0.0,1.0
mousepad,mousepad,,222.3,0.868421053,0.777777778,6.7105,0.5151,4.9211,0.9693,3.666666667,1.363689526,6.7105,1.011,6.6316,0.6334,1.3684,0.7505,0.944444444,0.053990295,0.0,1.0
mashed_potato,mashed potato,food,196.2878788,0.871794872,0.785714286,5.0811,1.6563,5.5676,1.4248,3.914893617,1.5298449369999998,6.0541,1.2006,4.8108,1.664,4.9189,1.4409999999999998,0.85,0.079843597,0.0,1.0
scrambled_egg,scrambled egg,breakfast food; food,187.4042553,0.794871795,0.764705882,5.0811,1.382,5.4054,1.1657,4.076923077,1.767910086,5.3243,1.8567,4.9459,1.4897,4.7297,1.9671,0.333333333,0.111111111,0.0,1.0
mosquito_net,mosquito net,,293.4230769,0.9,0.882352941,5.7714,1.3522,5.1714,1.4035,3.523809524,1.435407569,6.8,0.4728,6.0571,0.9375,1.7429,1.4213,0.5,0.11785113,0.0,1.0
measuring_cup,measuring cup,container; kitchen tool; scientific equipment,204.9625,0.825,1.0,6.5,0.797,4.5789,0.9762,3.3863636360000005,1.543416764,6.8684,0.3426,6.3421,1.0724,1.6316,0.913,0.941176471,0.057067206,0.0,1.0
plastic_film,plastic film,,204.74,0.794871795,0.705882353,6.2432,1.1403,4.1622,1.0932,3.977777778,1.559266857,6.6486,1.0332,6.2432,1.0383,1.4865,0.9013,0.0,0.0,0.0,1.0
pocket_watch,pocket watch,jewelry,180.7717391,0.871794872,0.733333333,6.7027,0.6176,5.3514,1.006,3.5,1.5158734580000002,6.5676,1.2143,6.6757,0.626,1.6216,1.0369,0.666666667,0.111111111,0.0,1.0
paper_bag,paper bag,container,239.0454545,0.871794872,0.733333333,6.7143,0.5725,4.1714,1.0706,4.14,1.457002794,6.6286,0.6897,6.7143,0.5725,3.1429,1.8652,0.777777778,0.097990789,0.0,1.0
rollerskate,rollerskate,footwear; sports equipment,232.84375,0.825,0.818181818,6.0556,0.7908,5.4722,1.1081,4.477272727,1.438484932,6.75,1.0522,5.8333,0.971,1.3611,0.6393,0.2,0.089442719,0.0,1.0
wrapping_paper,wrapping paper,arts and crafts supply,246.2875,0.815789474,0.818181818,6.3243,1.0289,5.5135,0.9894,3.895833333,1.447515602,6.5676,1.3026,6.2432,0.8302,1.9459,1.1772,1.0,0.0,0.0,1.0
windshield_wiper,windshield wiper,part of car,239.6744186,0.875,0.8125,5.925,1.2888,4.5,0.9058,4.139534884,1.457025596,6.775,0.6975,5.95,1.061,1.525,1.0374,0.65,0.106653645,0.0,1.0
hard_disk,hard disk,,208.4166667,0.871794872,0.823529412,5.9189,0.9539,4.4595,0.9308,4.152173913,1.44479743,6.4054,1.1893,5.6216,1.139,1.4595,0.8691,0.052631579,0.051227817,0.0,1.0
sleeping_bag,sleeping bag,,299.5348837,0.842105263,0.75,5.9167,0.9673,5.2222,1.1979,4.063829787,1.673375336,6.7222,0.7787,5.5278,1.1585,1.5,1.0,0.947368421,0.051227817,0.0,1.0
soy_sauce,soy sauce,condiment; food,195.6964286,0.897435897,0.75,5.0263,2.1496,5.3684,1.2175,4.2,1.307322037,6.2105,1.3588,4.7105,2.265,3.5,2.0101,0.55,0.111242977,0.0,1.0
spark_plug,spark plug,hardware; part of car,174.627907,0.8,0.75,6.5897,0.5486,4.2821,0.9162,4.204081633,1.499716527,6.8974,0.3074,6.359,0.8107,1.5385,0.9692,0.6,0.109544512,0.0,1.0
ice-cream_cone,ice-cream cone,dessert; food,200.0,0.926829268,0.8,6.5676,0.6888,5.9459,1.1534,3.409090909,2.026776359,6.7027,0.6176,6.2973,0.8777,2.1892,1.4306,0.0,0.0,0.0,1.0
hula_hoop,hula hoop,toy,282.9574468,0.875,0.857142857,6.5556,0.8087,5.6667,1.042,3.808510638,1.5967126269999998,6.8333,0.8452,6.3889,1.1283,1.3056,0.6242,0.941176471,0.057067206,0.0,1.0
ice_cube,ice cube,,216.7978723,0.923076923,0.9375,5.1579,1.3462,4.5263,1.0064,4.125,1.36249146,5.5526,1.4275,4.9737,1.4044,4.6316,1.6833,0.842105263,0.083654675,0.0,1.0
ice_pack,ice pack,medical equipment,206.5681818,0.909090909,0.818181818,6.0263,1.1965,4.6053,1.0011,4.094339623,1.98323891,6.7368,0.6011,6.0526,1.0641,2.2368,1.4966,0.894736842,0.0704059,0.0,1.0
laundry_basket,laundry basket,,278.6222222,0.853658537,0.866666667,6.2162,0.7124,4.2703,0.9324,4.102040816000001,1.41781666,6.6486,1.1599,6.1892,1.1264,1.3243,0.6689,0.526315789,0.114548882,0.0,1.0
laser_pointer,laser pointer,,178.56666669999998,0.9,0.916666667,6.6857,0.5827,4.8286,1.3609,3.234042553,1.338603522,6.8,0.4058,6.5143,0.7811,1.7143,1.4053,0.388888889,0.114904386,0.0,1.0
lip_balm,lip balm,personal hygiene item,169.5217391,0.886363636,0.789473684,6.7059,0.4625,5.9118,0.9001,3.97826087,1.6665217330000002,6.6765,0.5349,6.5,0.6629,3.5,1.656,0.235294118,0.102879368,0.0,1.0
lightbulb,lightbulb,hardware; lighting,192.9666667,0.875,0.8,6.5135,0.6507,5.1081,0.9364,3.960784314,1.53571852,6.8649,0.3466,6.4324,0.8347,1.3243,0.4746,0.235294118,0.102879368,0.0,1.0
life_jacket,life jacket,clothing; protective clothing; safety equipment,259.3152174,0.833333333,0.733333333,6.3158,0.6619,4.7632,1.2398,4.466666667,1.6039723419999998,6.7632,0.4896,5.9737,0.9149,1.8421,1.2633,0.578947368,0.113268966,0.0,1.0
ski_pole,ski pole,sports equipment,285.6976744,0.790697674,0.785714286,6.2703,0.8045,4.6216,0.7583,4.450980392,1.331371105,6.8108,0.4618,6.1622,0.8665,1.6486,0.9492,0.555555556,0.117121395,0.0,1.0
sim_card,sim card,,141.11111110000002,0.925,0.75,6.2105,0.8433,4.6053,1.0537,4.0,1.245399698,6.6842,1.0162,5.8158,1.2704,1.5263,0.9512,0.3125,0.115878101,0.0,1.0
lab_coat,lab coat,clothing; outerwear; protective clothing; safety equipment; scientific equipment,271.3586957,0.75,0.764705882,6.575,0.9842,4.35,0.9487,3.756097561,1.545646916,6.775,0.5768,6.625,0.8066,2.075,1.2687,0.625,0.12103073,0.0,1.0
license_plate,license plate,part of car,236.5795455,0.975609756,0.944444444,6.2632,0.8601,4.1316,0.6226,4.152173913,1.191961806,6.7105,0.8671,6.0526,1.2069,1.5,0.8929,0.764705882,0.102879368,0.0,1.0
shoe_polish,shoe polish,,186.75,0.925,1.0,6.1667,1.0556,4.0833,0.9373,3.911111111,1.39515757,6.6389,0.5426,5.7778,1.4365,2.1389,1.3764,0.882352941,0.07814249,0.0,1.0
shaving_cream,shaving cream,personal hygiene item,211.5138889,0.880952381,0.8,5.825,1.483,4.825,0.9306,3.895833333,1.6010579390000002,6.825,0.3848,5.325,1.7005,1.825,1.2788,0.947368421,0.051227817,0.0,1.0
pencil_sharpener,pencil sharpener,arts and crafts supply; office supply; school supply; tool,184.4404762,0.875,0.882352941,6.8571,0.355,4.3429,0.8382,3.948717949,1.356247104,6.9143,0.284,6.7429,0.6108,1.4286,0.9167,0.65,0.106653645,0.0,1.0
piggy_bank,piggy bank,container,231.6195652,0.909090909,0.916666667,5.6842,1.0681,5.3947,0.9737,3.568181818,1.703590289,6.8947,0.3883,5.3684,1.1252,1.8158,1.3528,1.0,0.0,0.0,1.0
rearview_mirror,rearview mirror,part of car,217.1521739,0.714285714,0.923076923,6.0263,1.2409,4.3684,0.7857,4.125,1.5928697509999998,6.8158,0.4565,6.3947,0.5945,1.6053,0.9455,0.0,0.0,0.0,1.0
remote_control,remote control,electronic device,214.4651163,0.902439024,1.0,6.8889,0.3187,4.8333,1.0556,4.085106383,1.5298449369999998,6.7222,0.7411,6.8056,0.5248,1.6944,1.1667,0.388888889,0.114904386,0.0,1.0
paper_towel,paper towel,,229.4204545,0.928571429,0.8,6.75,0.4392,4.7778,0.7601,4.1111111110000005,1.540693796,6.6667,0.5345,6.5556,0.9394,2.5833,1.7464,1.0,0.0,0.0,1.0
rolling_pin,rolling pin,kitchen tool; tool,227.6428571,0.80952381,0.75,6.3333,0.7559,4.5278,0.7741,4.0,1.7677669530000002,6.6667,0.5345,6.1389,0.8993,2.5833,1.6453,0.882352941,0.07814249,0.0,1.0
orange_rind,orange rind,,190.8108108,0.948717949,0.722222222,6.5641,0.718,4.3846,1.4256,4.018867925,1.3515029530000002,1.2051,0.469,6.5128,0.7564,6.7692,0.4846,0.0,0.0,0.0,1.0
nail_polish,nail polish,personal hygiene item,172.0340909,0.952380952,1.0,6.359,0.8425,5.5128,1.2327,4.181818182,1.6463169219999998,6.5128,1.374,5.8718,1.6572,1.8205,1.4118,1.0,0.0,0.0,1.0
t-shirt,t-shirt,clothing,259.3444444,0.871794872,0.866666667,6.7027,0.5708,5.2973,0.9388,3.673913043,1.838530184,6.7297,0.4502,6.5405,0.9887,2.9459,1.6658,0.894736842,0.0704059,0.0,1.0
steering_wheel,steering wheel,part of car,250.0638298,0.87804878,1.0,6.0857,1.2217,4.4,0.8471,4.42,1.566094844,6.9714,0.1689999999999999,6.4286,0.6981,1.3143,0.6761,1.0,0.0,0.0,1.0
football_helmet,football helmet,headwear; protective clothing; safety equipment; sports equipment,240.76923080000003,0.95,0.777777778,6.15,0.8022,4.45,1.1082,3.977777778,1.5298379130000002,6.725,0.5541,5.925,1.3471,1.475,1.0619,0.375,0.12103073,0.0,1.0
sugar_cube,sugar cube,food,141.2093023,0.928571429,0.857142857,6.6176,0.6038,5.4706,0.9919,3.450980392,1.700749546,5.6176,1.5766,6.5588,0.7046,4.0,1.891,0.842105263,0.083654675,0.0,1.0
sweet_potato,sweet potato,food; vegetable,208.2340426,0.95,0.75,6.6111,0.5989,5.1667,1.5766,3.784313725,1.640898845,1.6944,1.2608,6.5833,0.5,6.6389,0.6825,0.705882353,0.110510169,0.0,1.0
easter_egg,easter egg,food,180.1956522,0.818181818,0.857142857,6.6216,0.6811,5.8378,0.9284,3.976744186,1.7111451480000002,5.0,1.8856,6.5946,0.7249,4.4054,1.8924,0.6,0.109544512,0.0,1.0
tape_recorder,tape recorder,electronic device,221.1785714,0.804878049,0.75,6.1622,0.9578,5.027,1.0926,4.2558139530000005,1.346830906,6.7027,0.968,6.1622,0.8979,1.4595,0.9887,0.647058824,0.115904043,0.0,1.0
fishing_pole,fishing pole,,279.872093,0.794871795,0.714285714,6.2,0.8331,4.9429,1.2353,4.088888889,1.5929136000000002,6.7429,0.6572,6.3143,0.7581,2.0857,1.4011,0.705882353,0.110510169,0.0,1.0
first-aid_kit,first-aid kit,medical equipment,237.27380950000003,0.853658537,0.714285714,6.4737,0.7618,4.7895,1.3588,4.11627907,1.5462597319999998,6.7368,0.8909,6.1579,1.0007,1.8421,1.1974,0.0,0.0,0.0,1.0
tape_measure,tape measure,scientific equipment; tool,204.1071429,0.904761905,0.866666667,6.5789,0.6423,4.8158,1.036,4.044444444,1.521894088,6.8421,0.4366,6.3158,0.8089,1.4211,0.7929,0.722222222,0.105571799,0.0,1.0
test_tube,test tube,container; scientific equipment,191.5238095,0.923076923,0.8125,6.5385,0.8537,4.2564,0.7853,3.914893617,1.754866367,6.7949,0.5221,6.3333,1.0087,1.9231,1.3453,0.736842105,0.101022618,0.0,1.0
tennis_ball,tennis ball,sports equipment,195.8444444,0.902439024,0.727272727,6.8718,0.3387,5.2564,0.9925,3.791666667,1.543115574,6.8974,0.3074,6.6667,0.6213,1.4615,0.7555,0.941176471,0.057067206,0.0,1.0
hearing_aid,hearing aid,medical equipment,151.17708330000002,0.921052632,0.733333333,6.6486,0.5877,5.0541,1.2006,4.2352941180000006,1.464079715,6.9459,0.2292,6.4595,0.8365,1.5135,1.0703,1.0,0.0,0.0,1.0
green_beans,green beans,food; vegetable,162.86363640000002,0.85,0.705882353,6.6,0.5905,5.625,1.03,3.5,1.611131491,1.45,0.9044,6.5,0.6405,6.675,0.5723,0.75,0.096824584,0.0,1.0
golf_club,golf club,sports equipment,273.6794872,0.731707317,0.8125,6.2812,0.7719,4.5625,0.84,4.260869565,1.6252833269999998,6.375,1.4756,6.375,0.8707,1.75,1.1359,0.785714286,0.109664211,0.0,1.0
star_fruit,star fruit,food; fruit,201.2948718,0.875,0.8,6.4474,0.6857,5.7632,1.051,3.413043478,2.006390756,1.8421,1.6196,6.3158,0.8089,6.4211,1.2221,0.8,0.089442719,0.0,1.0
contact_lens,contact lens,,136.8617021,0.974358974,0.846153846,5.7105,1.6425,4.7632,1.3241,3.770833333,1.505162511,6.5,1.2892,5.3947,1.7636,2.0263,1.3046,0.588235294,0.119364625,0.0,1.0
cookie_cutter,cookie cutter,,193.4880952,0.95,0.833333333,6.6389,0.7617,5.4722,1.1081,4.0,1.6758611630000002,6.75,0.9373,6.4722,0.9706,1.4444,0.8765,0.578947368,0.113268966,0.0,1.0
comic_book,comic book,,226.9021739,0.857142857,0.928571429,6.6316,0.6334,5.4474,1.1554,3.921568627,1.695206622,6.5789,1.106,6.5789,0.7215,2.2105,1.3786,0.65,0.106653645,0.0,1.0
coffee_bean,coffee bean,food,130.8125,0.928571429,0.909090909,6.6,0.5531,5.8286,1.0142,3.745098039,1.671444133,2.0571,1.8302,6.4571,0.7005,6.6571,0.5913,0.947368421,0.051227817,0.0,1.0
credit_card,credit card,,186.9431818,0.954545455,1.0,6.775,0.5305,4.425,1.3939,4.277777778,1.560423223,6.65,1.231,6.475,1.2192,1.325,0.9711,0.823529412,0.092459441,0.0,1.0
cd_player,cd player,electronic device,230.2333333,0.880952381,0.8125,6.3939,0.6586,5.6061,0.9663,4.04,1.665496188,6.8788,0.4151,6.2424,0.8303,1.2727,0.8013,0.7,0.102469508,0.0,1.0
chive,chive,food; plant; vegetable,158.5609756,0.820512821,0.769230769,6.6667,0.6213,5.5128,0.7905,3.844444444,1.46093923,1.4615,1.2742,6.4359,0.8521,6.6667,0.8686,0.55,0.111242977,0.0,1.0
chickpea,chickpea,food; vegetable,134.63953490000003,0.860465116,0.733333333,6.6757,0.6689,5.027,1.213,3.571428571,1.683250823,1.7568,1.3209,6.6486,0.6756,6.4324,1.2143,0.6,0.126491106,0.0,1.0
chess_piece,chess piece,,169.8295455,0.87804878,0.833333333,6.6579,0.7081,4.8421,1.1746,3.85106383,1.756710407,6.7632,0.5897,6.4737,0.9223,2.3684,1.7151,0.705882353,0.110510169,0.0,1.0
toilet_paper,toilet paper,personal hygiene item,216.75,0.975,0.722222222,6.7568,0.5479999999999999,4.9189,1.2991,3.704545455,1.456014718,6.4595,1.2382,6.7297,0.5082,2.7027,1.7774,1.0,0.0,0.0,1.0
towel_rack,towel rack,,254.14444440000003,0.840909091,0.733333333,5.2703,1.3468,4.7568,0.863,3.692307692,1.5407976230000002,6.6486,0.5877,5.7838,1.0836,1.9459,1.2898,0.764705882,0.102879368,0.0,1.0
brussels_sprouts,brussels sprouts,food; vegetable,164.3522727,0.930232558,0.8,6.4872,0.6437,4.4615,1.7599,3.659574468,1.463714687,1.7179,1.4681,6.3333,0.8686,6.7692,0.4846,0.125,0.082679728,0.0,1.0
bowling_ball,bowling ball,sports equipment,241.8913043,0.923076923,0.727272727,5.3889,1.2019,4.7778,1.0173,4.088888889,1.427366014,6.6944,0.7491,5.4722,1.2532,1.6667,0.9258,1.0,0.0,0.0,1.0
baseball_glove,baseball glove,sports equipment,203.8214286,0.804878049,0.705882353,6.2222,1.0173,5.1667,0.971,3.953488372,1.495286059,6.5556,1.0809,6.1667,0.971,2.6111,1.8405,0.473684211,0.114548882,0.0,1.0
board_game,board game,game,253.75,0.923076923,0.733333333,6.2703,0.7321,5.8919,0.8427,3.97826087,1.831685689,6.7838,0.4793,6.1351,0.7875,1.7297,1.1702,0.823529412,0.092459441,0.0,1.0
belt_buckle,belt buckle,clothing accessory; fastener,184.6555556,0.829268293,0.882352941,6.5405,0.691,4.5676,1.0419,4.093023256,1.427851424,6.8108,0.4618,6.4324,0.8347,1.6757,1.226,0.631578947,0.110664733,0.0,1.0
bubble_wrap,bubble wrap,,234.2580645,0.925,0.722222222,6.4324,0.728,5.3243,1.1798,3.787234043,1.999306078,6.9459,0.2292,6.4324,0.7652,1.1351,0.4191,0.833333333,0.087841046,0.0,1.0
breadstick,breadstick,food,210.4021739,0.880952381,0.785714286,6.5526,0.6857,5.8947,1.0078,4.22,1.594505873,6.3947,0.9165,6.4211,0.8893,3.0789,1.7145,0.684210526,0.106639205,0.0,1.0
tuning_fork,tuning fork,,206.7625,0.9,0.727272727,6.5676,0.6888,4.5405,0.9602,4.304347826,1.603739591,6.6486,0.9194,6.5405,0.7672,2.0,1.472,0.333333333,0.111111111,0.0,1.0
waffle_iron,waffle iron,electronic device; home appliance; kitchen appliance,241.8085106,0.875,0.923076923,5.5263,1.0329,5.1579,1.0007,4.088888889,1.607118005,6.7632,0.4896,5.3158,1.1176,1.6579,0.9939,0.526315789,0.114548882,0.0,1.0
yo-yo,yo-yo,game; toy,189.9431818,0.871794872,0.923076923,6.6,0.6945,5.4857,1.2217,3.826086957,1.877401843,6.8286,0.3824,6.4,0.9456,1.4571,0.78,0.947368421,0.051227817,0.0,1.0
